config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
qwen2.5-7b_quant-8bit,tiny,1,32,1,464.46,881.99,32,true,
qwen2.5-7b_quant-8bit,tiny,1,32,2,382.83,800.40,32,true,
qwen2.5-7b_quant-8bit,tiny,1,32,3,392.54,810.89,32,true,
qwen2.5-7b_quant-8bit,tiny,1,32,4,380.61,799.35,32,true,
qwen2.5-7b_quant-8bit,tiny,1,32,5,588.26,1910.58,32,true,
qwen2.5-7b_quant-8bit,short,7,64,1,1303.44,8491.39,64,true,
qwen2.5-7b_quant-8bit,short,7,64,2,2809.20,14926.98,64,true,
qwen2.5-7b_quant-8bit,short,7,64,3,4236.62,21686.35,64,true,
qwen2.5-7b_quant-8bit,short,7,64,4,5843.15,29283.85,64,true,
qwen2.5-7b_quant-8bit,short,7,64,5,7257.55,35513.94,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,1,8166.96,42942.08,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,2,9619.06,50020.96,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,3,10968.63,56417.73,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,4,12424.65,63171.46,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,5,13828.01,70319.12,64,true,
qwen2.5-7b_quant-8bit,long,221,32,1,15578.98,38305.16,32,true,
qwen2.5-7b_quant-8bit,long,221,32,2,16101.61,39745.22,32,true,
qwen2.5-7b_quant-8bit,long,221,32,3,17110.69,42078.68,32,true,
qwen2.5-7b_quant-8bit,long,221,32,4,17971.03,44055.10,32,true,
qwen2.5-7b_quant-8bit,long,221,32,5,18335.63,45494.07,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,1,19746.99,47624.63,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,2,21388.44,48703.72,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,3,22281.80,50810.71,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,4,24230.05,55558.47,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,5,24116.56,54861.87,32,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,1,24649.73,29922.22,16,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,2,28665.03,32651.62,16,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,3,27164.17,30752.34,16,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,4,26330.34,29979.97,16,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,5,28412.79,32199.79,16,true,
