config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
qwen2.5-7b_quant-4bit,tiny,1,32,1,466.84,782.38,32,true,
qwen2.5-7b_quant-4bit,tiny,1,32,2,360.22,675.83,32,true,
qwen2.5-7b_quant-4bit,tiny,1,32,3,339.31,654.69,32,true,
qwen2.5-7b_quant-4bit,tiny,1,32,4,368.11,683.50,32,true,
qwen2.5-7b_quant-4bit,tiny,1,32,5,341.80,657.18,32,true,
qwen2.5-7b_quant-4bit,short,7,64,1,364.29,1257.67,64,true,
qwen2.5-7b_quant-4bit,short,7,64,2,362.74,1238.43,64,true,
qwen2.5-7b_quant-4bit,short,7,64,3,360.01,1235.82,64,true,
qwen2.5-7b_quant-4bit,short,7,64,4,344.62,1220.59,64,true,
qwen2.5-7b_quant-4bit,short,7,64,5,349.33,1225.71,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,1,433.60,1328.57,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,2,344.86,1240.03,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,3,343.17,1238.35,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,4,342.03,1237.30,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,5,343.52,1238.89,64,true,
qwen2.5-7b_quant-4bit,long,221,32,1,608.82,925.27,32,true,
qwen2.5-7b_quant-4bit,long,221,32,2,342.05,676.39,32,true,
qwen2.5-7b_quant-4bit,long,221,32,3,352.26,686.37,32,true,
qwen2.5-7b_quant-4bit,long,221,32,4,363.58,698.05,32,true,
qwen2.5-7b_quant-4bit,long,221,32,5,340.91,674.97,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,1,730.75,1064.77,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,2,358.99,674.97,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,3,356.89,673.41,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,4,352.92,669.65,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,5,347.76,664.16,32,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,1,895.33,965.95,16,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,2,324.81,377.85,16,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,3,347.97,400.96,16,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,4,343.70,396.50,16,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,5,337.52,390.51,16,true,
