config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
quant-8bit-20ms,tiny,1,32,1,568.85,1001.00,32,true,
quant-8bit-20ms,tiny,1,32,2,428.99,861.13,32,true,
quant-8bit-20ms,tiny,1,32,3,434.58,867.50,32,true,
quant-8bit-20ms,tiny,1,32,4,430.66,862.61,32,true,
quant-8bit-20ms,tiny,1,32,5,637.39,1992.66,32,true,
quant-8bit-20ms,short,7,64,1,1399.67,9118.73,64,true,
quant-8bit-20ms,short,7,64,2,2817.70,14558.09,64,true,
quant-8bit-20ms,short,7,64,3,4414.96,21125.44,64,true,
quant-8bit-20ms,short,7,64,4,5750.64,27845.21,64,true,
quant-8bit-20ms,short,7,64,5,7198.81,34299.85,64,true,
quant-8bit-20ms,medium,52,64,1,8898.47,41411.51,64,true,
quant-8bit-20ms,medium,52,64,2,10239.28,52520.48,64,true,
quant-8bit-20ms,medium,52,64,3,11852.13,59277.00,64,true,
quant-8bit-20ms,medium,52,64,4,14939.92,69064.17,64,true,
quant-8bit-20ms,medium,52,64,5,15021.82,71016.59,64,true,
quant-8bit-20ms,long,221,32,1,18966.52,41356.38,32,true,
quant-8bit-20ms,long,221,32,2,19292.62,42762.41,32,true,
quant-8bit-20ms,long,221,32,3,20302.39,44900.95,32,true,
quant-8bit-20ms,long,221,32,4,21238.76,46893.61,32,true,
quant-8bit-20ms,long,221,32,5,21907.92,48488.25,32,true,
quant-8bit-20ms,xlong,441,32,1,23294.06,50172.01,32,true,
quant-8bit-20ms,xlong,441,32,2,,,0,false,
quant-8bit-20ms,xlong,441,32,3,,,0,false,
quant-8bit-20ms,xlong,441,32,4,,,0,false,
quant-8bit-20ms,xlong,441,32,5,,,0,false,
quant-8bit-20ms,xxlong,884,16,1,,,0,false,
quant-8bit-20ms,xxlong,884,16,2,,,0,false,
quant-8bit-20ms,xxlong,884,16,3,,,0,false,
quant-8bit-20ms,xxlong,884,16,4,,,0,false,
quant-8bit-20ms,xxlong,884,16,5,,,0,false,
