config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
quant-4bit-v3,tiny,1,32,1,573.65,980.35,32,true,
quant-4bit-v3,tiny,1,32,2,427.21,835.01,32,true,
quant-4bit-v3,tiny,1,32,3,414.35,824.52,32,true,
quant-4bit-v3,tiny,1,32,4,399.40,812.08,32,true,
quant-4bit-v3,tiny,1,32,5,560.60,1839.02,32,true,
quant-4bit-v3,short,7,64,1,1190.46,9088.33,64,true,
quant-4bit-v3,short,7,64,2,2624.25,16118.33,64,true,
quant-4bit-v3,short,7,64,3,3588.61,21101.95,64,true,
quant-4bit-v3,short,7,64,4,5216.60,29094.55,64,true,
quant-4bit-v3,short,7,64,5,6309.48,34736.21,64,true,
quant-4bit-v3,medium,52,64,1,7576.19,41379.45,64,true,
quant-4bit-v3,medium,52,64,2,9247.39,49543.80,64,true,
quant-4bit-v3,medium,52,64,3,10228.39,57719.45,64,true,
quant-4bit-v3,medium,52,64,4,11699.82,63367.54,64,true,
quant-4bit-v3,medium,52,64,5,14244.15,78138.98,64,true,
quant-4bit-v3,long,221,32,1,14387.52,36734.57,32,true,
quant-4bit-v3,long,221,32,2,15971.44,39503.74,32,true,
quant-4bit-v3,long,221,32,3,17191.82,40755.68,32,true,
quant-4bit-v3,long,221,32,4,19582.33,43613.41,32,true,
quant-4bit-v3,long,221,32,5,18049.55,43093.15,32,true,
quant-4bit-v3,xlong,441,32,1,18104.92,45985.29,32,true,
quant-4bit-v3,xlong,441,32,2,20423.25,52930.38,32,true,
quant-4bit-v3,xlong,441,32,3,18831.24,48327.73,32,true,
quant-4bit-v3,xlong,441,32,4,22097.89,56773.23,32,true,
quant-4bit-v3,xlong,441,32,5,22873.32,58966.27,32,true,
quant-4bit-v3,xxlong,884,16,1,22622.79,27716.90,16,true,
quant-4bit-v3,xxlong,884,16,2,24363.97,30223.17,16,true,
quant-4bit-v3,xxlong,884,16,3,24697.60,30658.64,16,true,
quant-4bit-v3,xxlong,884,16,4,25017.00,31070.30,16,true,
quant-4bit-v3,xxlong,884,16,5,25728.20,31874.21,16,true,
