config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
quant-8bit,tiny,1,32,1,427.23,860.73,32,true,
quant-8bit,tiny,1,32,2,371.50,804.32,32,true,
quant-8bit,tiny,1,32,3,371.12,803.33,32,true,
quant-8bit,tiny,1,32,4,371.13,811.70,32,true,
quant-8bit,tiny,1,32,5,577.18,1959.33,32,true,
quant-8bit,short,7,64,1,1264.66,9029.72,64,true,
quant-8bit,short,7,64,2,3101.84,16207.86,64,true,
quant-8bit,short,7,64,3,4531.83,23156.19,64,true,
quant-8bit,short,7,64,4,6322.80,30358.46,64,true,
quant-8bit,short,7,64,5,7897.86,38225.90,64,true,
quant-8bit,medium,52,64,1,9867.85,46109.25,64,true,
quant-8bit,medium,52,64,2,11520.39,54738.32,64,true,
quant-8bit,medium,52,64,3,11940.77,55557.68,64,true,
quant-8bit,medium,52,64,4,14018.98,69111.49,64,true,
quant-8bit,medium,52,64,5,15814.52,70618.29,64,true,
quant-8bit,long,221,32,1,17678.60,37909.97,32,true,
quant-8bit,long,221,32,2,19239.66,42575.27,32,true,
quant-8bit,long,221,32,3,19652.01,42728.88,32,true,
quant-8bit,long,221,32,4,,,0,false,
quant-8bit,long,221,32,5,,,0,false,
quant-8bit,xlong,441,32,1,21676.99,47521.14,32,true,
quant-8bit,xlong,441,32,2,22447.11,49276.72,32,true,
quant-8bit,xlong,441,32,3,22746.96,50587.22,32,true,
quant-8bit,xlong,441,32,4,24161.31,52753.11,32,true,
quant-8bit,xlong,441,32,5,22925.20,51521.24,32,true,
quant-8bit,xxlong,884,16,1,27255.13,28881.41,16,true,
quant-8bit,xxlong,884,16,2,25396.88,27095.29,16,true,
quant-8bit,xxlong,884,16,3,,,0,false,
quant-8bit,xxlong,884,16,4,,,0,false,
quant-8bit,xxlong,884,16,5,,,0,false,
